trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-90.66747400144203,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-206.16293588670476,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-26.616209418543523,"{0: 17, 1: 6, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-96.95537132390778,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-70.9731672939988,"{0: 18, 1: 8, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,11,-65.53340661691676,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,2,-58.075177832915976,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-28.05273973390637,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,11,-22.064435602172644,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-44.10305262264088,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,11,-16.64726123430729,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,9.887676755662843,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,12.319154530825994,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-56.94802890968317,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-44.127346598410185,"{0: 26, 1: 1, 2: 1, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,8,13.8626658691072,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,8,-19.941494009981295,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,24.564007014459687,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,6,17.871754407803774,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-16.59180035074743,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,17,13.839345626731287,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-2.6662367692310323,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-55.72677025482948,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,9,0.2795902148386151,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,9,6.205115712469634,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,0,8.389046262686703,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,4,-6.3479116575000845,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,1,25.618464855429426,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",30,19,-1.601365122361356,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,33.60952188483488,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
