trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,0,-115.53621297520341,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-51.83610160168701,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-29.13443301189786,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",30,0,-84.35634783574808,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-152.41250294238756,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,12,-73.31475163103192,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 2}",1
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-125.4416098062146,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-181.56418401216624,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-73.47044983511667,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",20,0,-70.5810612906248,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-106.96819329791168,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,0,-100.06869941932626,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",30,10,-97.53623941836533,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",1
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",30,0,-122.51904393991802,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,0,-43.217461598171425,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-105.67507130842687,"{0: 8, 1: 1, 2: 11, 3: 0, 4: 0}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",30,0,-99.81599344854759,"{0: 17, 1: 4, 2: 8, 3: 1, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",30,0,-155.60546336327792,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-287.77274472378383,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 5}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,9,-96.15099010173942,"{0: 10, 1: 0, 2: 3, 3: 2, 4: 1}",1
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,0,-199.7650091419943,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",30,0,-249.05495334702155,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 5}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-71.81267939947199,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",25,0,-167.9252830380862,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-149.3378864125014,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-139.75544533254381,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-106.83735133413207,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",30,0,-268.7521416683692,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 5}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,3,-56.67096425712779,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 0}",1
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-162.300139199945,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-94.1018750632049,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,0,-105.20314887555169,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-62.35060852093014,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-110.94431738364001,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,-84.27149286640719,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,-117.78128462789265,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,0,-116.34339638767574,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",25,0,-137.3343331573556,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",20,0,-84.61081084842606,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-44.78674675115404,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,0,-137.34862569837412,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",25,0,-154.3480828561602,"{0: 16, 1: 4, 2: 1, 3: 1, 4: 3}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,15,-2.6776027923964314,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",20,12,-39.72162025910431,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",20,0,-131.785709874867,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",20,0,-106.53896614126334,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",20,0,-63.81430260957649,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",30,0,-125.65553925744763,"{0: 18, 1: 7, 2: 3, 3: 0, 4: 2}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",25,0,-102.36882499093785,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",35,7,-111.95867359311151,"{0: 16, 1: 3, 2: 8, 3: 0, 4: 1}",1
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-46.443563734605405,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-153.81783094385946,"{0: 12, 1: 5, 2: 4, 3: 3, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",30,0,-62.70623995333746,"{0: 22, 1: 1, 2: 5, 3: 2, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-66.2806565645673,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",30,11,-81.45366131481732,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 0}",1
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,0,-91.67968312179194,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,0,6.8155473929182175,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,6,-123.09544569460046,"{0: 6, 1: 1, 2: 5, 3: 0, 4: 2}",1
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",30,0,-37.26099112471322,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,17,-9.314657184042638,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",30,2,-162.51888884119657,"{0: 16, 1: 4, 2: 4, 3: 2, 4: 2}",1
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",30,4,-61.43679569727659,"{0: 18, 1: 6, 2: 1, 3: 0, 4: 1}",1
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",25,0,-23.984651755394662,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
