trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,13,-49.46062454863133,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.39671832088173,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-76.85564028300618,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.61655574385591,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-81.66023560710504,"{0: 21, 1: 3, 2: 3, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-179.883836830232,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.40713314827708,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-180.31769648800173,"{0: 23, 1: 2, 2: 6, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.46716863217637,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.54425297991133,"{0: 13, 1: 8, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.86127141435566,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.17657790231524,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,10,-5.040991752535911,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-17.96405040766453,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.02099532771044,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-118.99747804274712,"{0: 22, 1: 6, 2: 5, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.0641826926769,"{0: 11, 1: 7, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-16.39043802284734,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-62.52327150641617,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.94130940212696,"{0: 8, 1: 5, 2: 3, 3: 2, 4: 2}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-177.96101350892528,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.62199969359082,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-128.29014406889036,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-89.86298901742865,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-112.75303232626439,"{0: 14, 1: 4, 2: 3, 3: 4, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-59.293135080207776,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-209.94654999735576,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-33.67293489041258,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.20236835177123,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-139.52225571745012,"{0: 7, 1: 3, 2: 9, 3: 0, 4: 1}",0
